product,footprint
Peberfrugt,0.96
Tomat,0.46
Squash,0.73
Aubergine,0.87
"Tomat, soltørret",2.33
Græskar,0.73
Agurk,0.37
Drueagurk (sylteagurk),0.37
"Peber, chili",0.96
"Oksekød, inderlår uden kappe",55.31
Kartoffel,0.39
"Smør, saltet",3.86
Tun,3.85
