ID,product,kg_co2e_pr_kg
0,Peberfrugt,0.96
1,Tomat,0.46
2,Squash,0.73
3,Aubergine,0.87
4,"Tomat, soltørret",2.33
5,Græskar,0.73
6,Agurk,0.37
7,Drueagurk (sylteagurk),0.37
8,"Peber, chili",0.96
9,"Oksekød, inderlår uden kappe",55.31
10,Kartoffel,0.39
11,"Smør, saltet",3.86
12,Tun,3.85
13,Pasta,1.73
14,Hvidløg,1.1300000000000001
15,Tomat,0.46
16,"Parmesan ost, 32+",6.63
